qpu,n,shots_per_circuit,circuits,total_shots,task_rate_dollars,shot_rate_dollars,cost_dollars,within_20_dollar_cap,classical_bound,quantum_bound,ideal_quantum_advantage,readout_e0,readout_e1,readout_source,delta_mode,predicted_delta,expected_win_rate,margin_above_classical,physics_possible,certification_power,certification_power_percent,expected_p_value,passes_3sigma_at_expectation
emerald,3,10,6,60,0.3,0.0016,1.896,True,0.8333333333333334,0.9330127018922194,0.09967936855888604,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.025002807256436554,0.9080098946357829,0.07467656130244948,True,0.02164615220283755,2.164615220283755,0.10807126010622699,False
emerald,3,120,6,720,0.3,0.0016,2.952,True,0.8333333333333334,0.9330127018922194,0.09967936855888604,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.025002807256436554,0.9080098946357829,0.07467656130244948,True,0.9986346549750856,99.86346549750856,4.65607013258049e-09,True
emerald,3,130,6,780,0.3,0.0016,3.048,True,0.8333333333333334,0.9330127018922194,0.09967936855888604,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.025002807256436554,0.9080098946357829,0.07467656130244948,True,0.999484103682224,99.9484103682224,1.545569884366864e-09,True
emerald,3,140,6,840,0.3,0.0016,3.144,True,0.8333333333333334,0.9330127018922194,0.09967936855888604,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.025002807256436554,0.9080098946357829,0.07467656130244948,True,0.9998072654752581,99.9807265475258,2.5832716055869375e-10,True
emerald,3,150,6,900,0.3,0.0016,3.24,True,0.8333333333333334,0.9330127018922194,0.09967936855888604,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.025002807256436554,0.9080098946357829,0.07467656130244948,True,0.9998919542797087,99.98919542797087,8.617198976337362e-11,True
emerald,3,160,6,960,0.3,0.0016,3.3360000000000003,True,0.8333333333333334,0.9330127018922194,0.09967936855888604,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.025002807256436554,0.9080098946357829,0.07467656130244948,True,0.9999599222566964,99.99599222566964,1.4472227969554367e-11,True
emerald,3,170,6,1020,0.3,0.0016,3.4320000000000004,True,0.8333333333333334,0.9330127018922194,0.09967936855888604,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.025002807256436554,0.9080098946357829,0.07467656130244948,True,0.9999852342184611,99.9985234218461,4.845636309510926e-12,True
emerald,3,180,6,1080,0.3,0.0016,3.5280000000000005,True,0.8333333333333334,0.9330127018922194,0.09967936855888604,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.025002807256436554,0.9080098946357829,0.07467656130244948,True,0.9999945899616263,99.99945899616263,8.168490829101733e-13,True
emerald,3,190,6,1140,0.3,0.0016,3.6239999999999997,True,0.8333333333333334,0.9330127018922194,0.09967936855888604,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.025002807256436554,0.9080098946357829,0.07467656130244948,True,0.999998026886538,99.9998026886538,2.743036223809871e-13,True
emerald,3,200,6,1200,0.3,0.0016,3.7199999999999998,True,0.8333333333333334,0.9330127018922194,0.09967936855888604,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.025002807256436554,0.9080098946357829,0.07467656130244948,True,0.9999992831274682,99.99992831274682,4.6378721406777246e-14,True
emerald,3,210,6,1260,0.3,0.0016,3.816,True,0.8333333333333334,0.9330127018922194,0.09967936855888604,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.025002807256436554,0.9080098946357829,0.07467656130244948,True,0.9999997403820984,99.99997403820984,1.5611242784526742e-14,True
